[03/05/2023 21:08:57] [debug]	 -Not support this chain  

[03/05/2023 21:11:46] [debug]	 -Cannot read properties of undefined (reading 'split')  

[03/05/2023 21:14:05] [error]	 -Current wallet isn't user  

[03/05/2023 21:14:05] [debug]	 -NOT_USER  

[03/05/2023 21:15:59] [error]	 -Current wallet isn't user  

[03/05/2023 21:15:59] [debug]	 -NOT_USER  

[03/05/2023 21:16:10] [error]	 -Current wallet isn't user  

[03/05/2023 21:16:10] [debug]	 -NOT_USER  

[03/05/2023 21:17:25] [error]	 -Current wallet isn't user  

[03/05/2023 21:17:25] [debug]	 -NOT_USER  

[03/05/2023 21:17:37] [error]	 -Current wallet isn't user  

[03/05/2023 21:17:37] [debug]	 -NOT_USER  

[03/05/2023 21:18:20] [error]	 -Current wallet isn't user  

[03/05/2023 21:18:20] [debug]	 -NOT_USER  

[03/05/2023 21:20:13] [error]	 -Current wallet isn't user  

[03/05/2023 21:20:13] [debug]	 -NOT_USER  

[03/05/2023 21:20:18] [error]	 -Current wallet isn't user  

[03/05/2023 21:20:18] [debug]	 -NOT_USER  

[03/05/2023 21:20:43] [error]	 -Current wallet isn't user  

[03/05/2023 21:20:43] [debug]	 -NOT_USER  

[03/05/2023 21:24:15] [error]	 -Current wallet isn't user  

[03/05/2023 21:24:15] [debug]	 -NOT_USER  

[03/05/2023 21:52:25] [error]	 -Current wallet isn't user  

[03/05/2023 21:52:25] [debug]	 -NOT_USER  

[03/05/2023 21:54:39] [error]	 -Current wallet isn't user  

[03/05/2023 21:54:39] [debug]	 -NOT_USER  

[03/05/2023 21:55:34] [error]	 -Current wallet isn't user  

[03/05/2023 21:55:34] [debug]	 -NOT_USER  

[03/05/2023 21:55:34] [error]	 - 400 

[03/05/2023 21:55:35] [error]	 -Current wallet isn't user  

[03/05/2023 21:55:35] [debug]	 -NOT_USER  

[03/05/2023 21:55:35] [error]	 - 400 

[03/05/2023 21:55:35] [error]	 -Current wallet isn't user  

[03/05/2023 21:55:35] [debug]	 -NOT_USER  

[03/05/2023 21:55:35] [error]	 - 400 

